Instance_ID Group_ID
Khs-403 Khakass_Kachin
Khs-402 Khakass_Kachin
Khs-491 Khakass_Kachin
Khs-513 Khakass_Kachin
EV-175 Khamnegan
EV-132 Khamnegan
EV-148 Khamnegan
BUR-103 Khamnegan
BUR-238 Khamnegan
BUR-101 Khamnegan
BUR-500 Khamnegan
EV-114 Khamnegan
BUR-155 Khamnegan
EV-139 Khamnegan
DAG-210 Kubachinian
DAG-211 Kubachinian
DAG-180 Kubachinian
DAG-205 Kubachinian
DAG-213 Kubachinian
DAG-200 Kubachinian
kumyks97 Kumyk
kumyks90 Kumyk
kumyks40 Kumyk
kumyks44 Kumyk
kumyks93 Kumyk
kumyks94 Kumyk
kumyks98 Kumyk
kumyks41 Kumyk
KRD-45 Kurd
KRD-14 Kurd
KRD-43 Kurd
KRD-40 Kurd
KRD-5 Kurd
KRD-49 Kurd
KRD-31 Kurd
KRD-8 Kurd
DAG-388 Lak
DAG-371 Lak
DAG-376 Lak
DAG-372 Lak
DAG-325 Lak
DAG-400 Lak
DAG-336 Lak
DAG-335 Lak
DAG-390 Lak
DAG-344 Lak
lez7 Lezgin
lez9 Lezgin
lez40 Lezgin
lez31 Lezgin
lez38 Lezgin
lez37 Lezgin
lez36 Lezgin
lez49 Lezgin
lez33 Lezgin
HGDP00137 Makrani
HGDP00131 Makrani
HGDP00133 Makrani
HGDP00148 Makrani
HGDP00157 Makrani
HGDP00145 Makrani
HGDP00151 Makrani
HGDP00134 Makrani
HGDP00141 Makrani
HGDP00140 Makrani
HGDP00136 Makrani
HGDP00135 Makrani
HGDP00144 Makrani
HGDP00158 Makrani
HGDP00146 Makrani
HGDP00153 Makrani
HGDP00155 Makrani
HGDP00154 Makrani
HGDP00161 Makrani
HGDP00160 Makrani
HGDP01196 Miao
HGDP01195 Miao
HGDP01197 Miao
HGDP01194 Miao
HGDP01191 Miao
HGDP01198 Miao
HGDP01193 Miao
HGDP01190 Miao
HGDP01189 Miao
HGDP01192 Miao
HGDP01223 Mongola
HGDP01227 Mongola
HGDP01231 Mongola
HGDP01232 Mongola
HGDP01225 Mongola
HGDP01228 Mongola
MOE-001 Mordovian
MOE-452 Mordovian
Mordovians27 Mordovian
MOE-451 Mordovian
MOE-433 Mordovian
MOE-495 Mordovian
MOE-010 Mordovian
MOE-491 Mordovian
Mordovians28 Mordovian
MOE-450 Mordovian
MOE-015 Mordovian
MOE-445 Mordovian
Mordovians17 Mordovian
MOE-497 Mordovian
MOE-485 Mordovian
MOE-014 Mordovian
Mordovians32 Mordovian
Mordovians30 Mordovian
Mordovians1 Mordovian
MOE-455 Mordovian
AMU-547 Nanai
AMU-636 Nanai
AMU-549 Nanai
AMU-610 Nanai
AMU-555 Nanai
AMU-601 Nanai
AMU-561 Nanai
AMU-628 Nanai
AMU-631 Nanai
AMU-559 Nanai
HGDP01341 Naxi
HGDP01340 Naxi
HGDP01342 Naxi
HGDP01339 Naxi
HGDP01345 Naxi
HGDP01338 Naxi
HGDP01344 Naxi
HGDP01337 Naxi
HGDP01346 Naxi
AMU-156 Negidal
AMU-160 Negidal
AMU-696 Negidal
AMU-039 Nivh
AMU-031 Nivh
AMU-042 Nivh
AMU-074 Nivh
AMU-072 Nivh
AMU-164 Nivh
AMU-066 Nivh
AMU-064 Nivh
AMU-596 Nivh
AMU-052 Nivh
NOG-18 Nogai_Astrakhan
NOG-21 Nogai_Astrakhan
NOG-15 Nogai_Astrakhan
NOG-17 Nogai_Astrakhan
NOG-42 Nogai_Astrakhan
NOG-19 Nogai_Astrakhan
nogay25 Nogai_Karachay_Cherkessia
nogay42 Nogai_Karachay_Cherkessia
nogay24 Nogai_Karachay_Cherkessia
nogay45 Nogai_Karachay_Cherkessia
nogay35 Nogai_Karachay_Cherkessia
nogay46 Nogai_Karachay_Cherkessia
nogay34 Nogai_Karachay_Cherkessia
nogay44 Nogai_Karachay_Cherkessia
nogay33 Nogai_Karachay_Cherkessia
NOG-125 Nogai_Stavropol
NOG-224 Nogai_Stavropol
NOG-130 Nogai_Stavropol
NOG-263 Nogai_Stavropol
NOG-357 Nogai_Stavropol
NOG-129 Nogai_Stavropol
NOG-133 Nogai_Stavropol
NOG-220 Nogai_Stavropol
NOG-217 Nogai_Stavropol
NOG-127 Nogai_Stavropol
HGDP00808 Orcadian
HGDP00802 Orcadian
HGDP00806 Orcadian
HGDP00796 Orcadian
HGDP00807 Orcadian
HGDP00810 Orcadian
HGDP00799 Orcadian
HGDP00797 Orcadian
HGDP00805 Orcadian
HGDP00803 Orcadian
HGDP00800 Orcadian
HGDP00794 Orcadian
HGDP00798 Orcadian
HGDP01208 Oroqen
HGDP01204 Oroqen
HGDP01206 Oroqen
HGDP01207 Oroqen
HGDP01211 Oroqen
HGDP01203 Oroqen
HGDP01209 Oroqen
HGDP01205 Oroqen
HGDP01212 Oroqen
NorthOssetia14 Ossetian
NorthOssetia12 Ossetian
NorthOssetia8 Ossetian
OCE-224 Ossetian
NorthOssetia9 Ossetian
NorthOssetia3 Ossetian
OCE-155 Ossetian
NorthOssetia19 Ossetian
OCE-195 Ossetian
NorthOssetia2 Ossetian
NorthOssetia17 Ossetian
NorthOssetia11 Ossetian
OCE-058 Ossetian
NorthOssetia5 Ossetian
OCE-160 Ossetian
OCE-161 Ossetian
HGDP00727 Palestinian
HGDP00732 Palestinian
HGDP00675 Palestinian
HGDP00725 Palestinian
HGDP00680 Palestinian
HGDP00730 Palestinian
HGDP00736 Palestinian
HGDP00737 Palestinian
HGDP00688 Palestinian
HGDP00739 Palestinian
HGDP00689 Palestinian
HGDP00724 Palestinian
HGDP00734 Palestinian
HGDP00684 Palestinian
HGDP00686 Palestinian
HGDP00733 Palestinian
HGDP00722 Palestinian
HGDP00694 Palestinian
HGDP00696 Palestinian
HGDP00745 Palestinian
HGDP00224 Pathan
HGDP00213 Pathan
HGDP00232 Pathan
HGDP00228 Pathan
HGDP00248 Pathan
